"FECHA_CORTE","ANIO","MES","SEMANA","DIA","TURNO 1","TURNO 2","TURNO 3","TOTAL","UNIDAD"
"2024-01-31","2024","1","1","LUNES","69.16","39.3","41.25","149.71","TONELADAS"
"2024-01-31","2024","1","1","MARTES","85.63","76.96","64.85","227.44","TONELADAS"
"2024-01-31","2024","1","1","MIÉRCOLES","84.11","81.27","76.96","242.34","TONELADAS"
"2024-01-31","2024","1","1","JUEVES","75.27","80.86","66.75","222.88","TONELADAS"
"2024-01-31","2024","1","1","VIERNES","91.07","87.12","60.49","238.68","TONELADAS"
"2024-01-31","2024","1","1","SÁBADO","84.21","91.07","71.11","246.39","TONELADAS"
"2024-01-31","2024","1","1","DOMINGO","79.37","85.22","73.52","238.11","TONELADAS"
"2024-01-31","2024","1","2","LUNES","85.22","79.37","73.11","237.7","TONELADAS"
"2024-01-31","2024","1","2","MARTES","73.11","79.37","71.8","224.28","TONELADAS"
"2024-01-31","2024","1","2","MIÉRCOLES","71.42","76.37","71.11","218.9","TONELADAS"
"2024-01-31","2024","1","2","JUEVES","71.11","88.48","65.57","225.16","TONELADAS"
"2024-01-31","2024","1","2","VIERNES","85.22","76.96","71.52","233.7","TONELADAS"
"2024-01-31","2024","1","2","SÁBADO","56.35","74.37","71.11","201.83","TONELADAS"
"2024-01-31","2024","1","2","DOMINGO","67.16","50.37","63.53","181.06","TONELADAS"
"2024-01-31","2024","1","3","LUNES","65.57","82.63","63.53","211.73","TONELADAS"
"2024-01-31","2024","1","3","MARTES","80.67","76.37","73.52","230.56","TONELADAS"
"2024-01-31","2024","1","3","MIÉRCOLES","77.13","86.63","73.11","236.87","TONELADAS"
"2024-01-31","2024","1","3","JUEVES","89.63","92.89","89.63","272.15","TONELADAS"
"2024-01-31","2024","1","3","VIERNES","92.04","83.78","87.63","263.45","TONELADAS"
"2024-01-31","2024","1","3","SÁBADO","87.63","95.89","73.52","257.04","TONELADAS"
"2024-01-31","2024","1","3","DOMINGO","85.32","73.52","51.46","210.3","TONELADAS"
"2024-01-31","2024","1","4","LUNES","85.34","88.35","82.09","255.78","TONELADAS"
"2024-01-31","2024","1","4","MARTES","85.34","88.35","64.03","237.72","TONELADAS"
"2024-01-31","2024","1","4","MIÉRCOLES","79.49","74.24","82.09","235.82","TONELADAS"
"2024-01-31","2024","1","4","JUEVES","88.35","88.35","82.09","258.79","TONELADAS"
"2024-01-31","2024","1","4","VIERNES","93.6","88.35","82.09","264.04","TONELADAS"
"2024-01-31","2024","1","4","SÁBADO","79.08","73.83","73.83","226.74","TONELADAS"
"2024-01-31","2024","1","4","DOMINGO","71.23","57.72","57.72","186.67","TONELADAS"
"2024-01-31","2024","1","5","LUNES","62.97","57.72","70.98","191.67","TONELADAS"
"2024-01-31","2024","1","5","MARTES","64.97","82.5","84.5","231.97","TONELADAS"
"2024-01-31","2024","1","5","MIÉRCOLES","47.51","84.09","82.09","213.69","TONELADAS"
